record_index	shape_value	delta_value	shape	shape_2bit_bytes	phrase_plain
0	2466944	2466944	[1 1 3 2 2 2]	0950	p k hojas acg din a4
1	2466944	0	[1 1 3 2 2 2]	0950	p k hojas ing din a4
2	2471642	4698	[1 1 3 3 3 3 3 2]	0aa9	p tu rutina cuidad facial averac crema boml
3	2471642	0	[1 1 3 3 3 3 3 2]	0aa9	p tu rutina cuidad facial averac crema boml
4	2475096	3454	[1 1 3 4 2 1 3]	0b48	p 2 gomas borrar nata gi milan
5	2475733	637	[1 1 3 4 3 3 2 5]	overflow_word_gt4	p g pilas alcalina itech lr6 aa carrefour
6	2475864	131	[1 1 3 4 3 5 3]	overflow_word_gt4	p 4 pilas alcalina itech carrefour lr2
7	2475866	2	[1 1 3 4 3 5 3 2]	overflow_word_gt4	p e pilas alcalina itech carrefour lr6 aa
8	2475867	1	[1 1 3 4 3 5 3 3]	overflow_word_gt4	p 6 pilas alcalina itech carrefour lr3 aaa
9	2476379	512	[1 1 3 4 4 5 3 3]	overflow_word_gt4	p 4 pilas alcalina digital carrefour lr3 aaa
10	2476379	0	[1 1 3 4 4 5 3 3]	overflow_word_gt4	p 4 pilas alcalina digital carrefour lr3 aaa
11	2476899	520	[1 1 3 4 5 5 4 3]	overflow_word_gt4	p 3 gomas borrar recambio afilaborra capsule milan
12	2477568	669	[1 1 3 4 7]	overflow_word_gt4	p 6 rollo adhesivo 25mm719
13	2483864	6296	[1 1 3 6 3 2 3]	overflow_word_gt4	p 4 pilas recargable varta aa zumah
14	2508594	24730	[1 1 4 4 3 4 6 2]	overflow_word_gt4	p 2 barrita canarios huevo semilla vitakraft sag
15	2534165	25571	[1 1 5 2 5 4 2 5]	overflow_word_gt4	p 2 bombilla led filamento esferica opal 68558
16	2534165	0	[1 1 5 2 5 4 2 5]	overflow_word_gt4	p 2 bombilla led filamento esferica opal 45848
17	2535059	894	[1 1 5 2 7 2 2 3]	overflow_word_gt4	p 2 bombilla led spotlight 68 gu1 calida
18	2536568	1509	[1 1 5 3 2 1 7]	overflow_word_gt4	p 2 cartucho tinta hp ce negrotricolo
19	2541279	4711	[1 1 5 4 3 3 3 7]	overflow_word_gt4	p l etiquetas adhesiva azules rojas verde 34mm775
20	2541279	0	[1 1 5 4 3 3 3 7]	overflow_word_gt4	p l etiquetas adhesiva azules rojas verde 34mm775
21	2547712	6433	[1 1 5 6]	overflow_word_gt4	p 3 rotuladore permanente
22	2547712	0	[1 1 5 6]	overflow_word_gt4	p 3 rotuladore permanente
23	2577306	29594	[1 1 6 5 1 6 3 2]	overflow_word_gt4	p g mascarilla higienicas no reutilizable color azul
24	2709136	131830	[1 2 2 5 3 2 2]	overflow_word_gt4	el re3 vera pimenton dulce lata vig
25	2737739	28603	[1 2 3 4 3 1 1 3]	1b82	p dos tetina silicona nivel 3 6 meses
26	2770650	32911	[1 2 4 4 3 3 3 2]	1fa9	as mi7 gourmet alimento gatos carne tarro 47
27	2770650	0	[1 2 4 4 3 3 3 2]	1fa9	as mi7 gourmet alimento gatos carne tarro 47
28	2774016	3366	[1 2 4 5 2]	overflow_word_gt4	te rojo bolsita carrefour nud
29	2935120	161104	[1 3 1 4 4 5 2]	overflow_word_gt4	te verde al maracuya bolsita pompadour pud
30	2949120	14000	[1 3 2]	24	3 barra pan
31	2963264	14144	[1 3 2 3 3 5]	overflow_word_gt4	te verde soja sabor mango hacendado
32	2963264	0	[1 3 2 3 3 5]	overflow_word_gt4	te verde soja sabor mango hacendado
33	2965504	2240	[1 3 2 4]	27	3 barra pan rebanada
34	2971776	6272	[1 3 2 5 4 2]	overflow_word_gt4	te limon zero carrefour botella 1l
35	2987728	15952	[1 3 3 1 3 3 2]	28a4	al punto pi6za 6 qesos envase 2g
36	2992409	4681	[1 3 3 2 4 4 3 1]	29f8	te frio fruta del bosqe bolsita cuida te
37	2992464	55	[1 3 3 2 4 5 2]	overflow_word_gt4	te verde extra puro bolsita horniman eud
38	2994816	2352	[1 3 3 3 1 2]	2a10	te verde moruno cuida te acg
39	2995044	228	[1 3 3 3 1 5 4 4]	overflow_word_gt4	p jarra brita aluda 1 cartucho ma7tra blanca
40	2995472	428	[1 3 3 3 2 4 2]	2a74	ta tung pollo kong pao bandeja lig
41	3000960	5488	[1 3 3 4 5 2]	overflow_word_gt4	te indian chai bolsita pompadour eud
42	3000960	0	[1 3 3 4 5 2]	overflow_word_gt4	te earl gre3 bolsita twining dud
43	3001104	144	[1 3 3 4 5 4 2]	overflow_word_gt4	al punto lasana bolonesa gratinada bandeja asg
44	3001168	64	[1 3 3 4 5 5 2]	overflow_word_gt4	te negro ceilan bolsita carrefour seleccion eud
45	3001178	10	[1 3 3 4 5 5 3 2]	overflow_word_gt4	lu mikado palito galleta recubierto chocolate leche caja
46	3002368	1190	[1 3 3 5]	overflow_word_gt4	te negro canela hacendado
47	3002368	0	[1 3 3 5]	overflow_word_gt4	te negro canela hacendado
48	3004508	2140	[1 3 3 5 4 1 3 4]	overflow_word_gt4	n bolsa basura carrefour papelera g litro blanco
49	3028608	24100	[1 3 4 3 3 2]	2e90	al punto brocoli patata bolsa 6g
50	3029643	1035	[1 3 4 3 5 2 1 3]	overflow_word_gt4	el tigre gaseosa polvo edulcorado caja 8 sobre
51	3033728	4085	[1 3 4 4 5 2]	overflow_word_gt4	te chai especias bolsita horniman eud
52	3036160	2432	[1 3 4 5 2]	overflow_word_gt4	te verde bolsita carrefour nud
53	3036160	0	[1 3 4 5 2]	overflow_word_gt4	te verde bolsita carrefour nud
54	3037312	1152	[1 3 4 5 4 2]	overflow_word_gt4	ta tung rollito primavera bandeja teg
55	3038040	728	[1 3 4 5 5 5 3]	overflow_word_gt4	te verde hibisco jengibre ecologico ethiqable euds
56	3060736	22696	[1 3 5 3 2]	overflow_word_gt4	al punto ga6pacho envase 1l
57	3061968	1232	[1 3 5 3 4 3 2]	overflow_word_gt4	al punto croqetas pollo bandeja 8uds teg
58	3062067	99	[1 3 5 3 4 4 6 3]	overflow_word_gt4	al punto tortilla patata fresca cebolla caramelizada envase
59	3063451	1384	[1 3 5 3 7 2 3 3]	overflow_word_gt4	2 bayeta multiusos suave antibacterias odor stop vileda
60	3064523	1072	[1 3 5 4 1 3 1 3]	overflow_word_gt4	as papel higienico premium 4 capas p 8uds
61	3065984	1461	[1 3 5 4 4 2]	overflow_word_gt4	al punto macarrone bolonesa bandeja 6g
62	3066192	208	[1 3 5 4 4 5 2]	overflow_word_gt4	te verde jengibre naranja bolsita pompadour eud
63	3069432	3240	[1 3 5 5 2 7 7]	overflow_word_gt4	g vasos plastico carrefour home 118723c transparen
64	3069952	520	[1 3 5 5 4]	overflow_word_gt4	6 bayeta multiusos carrefour amarilla
65	3074784	4832	[1 3 5 6 5 3 4]	overflow_word_gt4	8 bayeta multiusos microfibra rozenbal colore surtido
66	3074784	0	[1 3 5 6 5 3 4]	overflow_word_gt4	3 bayeta multiusos microfibra carrefour colore surtido
67	3074784	0	[1 3 5 6 5 3 4]	overflow_word_gt4	3 bayeta multiusos microfibra carrefour colore surtido
68	3074816	32	[1 3 5 6 5 4]	overflow_word_gt4	3 bayeta multiusos multifacil sponte7 amarilla
69	3095248	20432	[1 3 6 3 5 3 2]	overflow_word_gt4	te verde gunpo8der menta ecologico oxfam acg
70	3100672	5424	[1 3 6 5]	overflow_word_gt4	te verde hierbabuena hacendado
71	3132032	31360	[1 3 7 4 5 2]	overflow_word_gt4	te negro descafeinado bolsita carrefour nud
72	3223552	91520	[1 4 2 3]	36	3 baguette masa madre
73	3229376	5824	[1 4 2 4 3 3]	37a0	as barrita miel roedores bolsa 2uds
74	3253456	24080	[1 4 3 2 2 3 2]	3964	2 estuche minas hb bic leads 7ml
75	3257491	4035	[1 4 3 3 2 2 2 3]	3a56	el ventero qeso tierno bajo sal mini pieza
76	3257552	61	[1 4 3 3 2 3 2]	3a64	as alimento perro adulto buey bolsa pk
77	3258128	576	[1 4 3 3 3 4 2]	3ab4	as alimento perro senior carne tarrina jug
78	3258481	353	[1 4 3 3 4 1 6 1]	overflow_word_gt4	el ventero fusion qeso fresco al membrillo p
79	3258650	169	[1 4 3 3 4 4 3 2]	3af9	el ventero qeso tierno light loncha envase ibg
80	3258786	136	[1 4 3 3 4 6 4 2]	overflow_word_gt4	el pastor perla qeso rellena frambuesa bandeja agg
81	3262144	3358	[1 4 3 4 3 3]	3ba0	as snack perro ternera bolsa kuds
